Reference,Category,delta15N-N2O,"Site Preference (SP), defined either as [delta15N_alpha - delta15N_beta] or [15R_alpha/15R_beta - 1], where alpha is the central N atom and beta is the terminal N atom in the assymetric N-N-O molecule",delta18O-N2O,Site description,Surface flux and near-surface data subset
This study,Freshwater,-3.5,,46.4,Thames River at Putnam_Ontario_Canada_alongside manure composting facility_dissolved N2O_September 2006 and June 2008,yes
This study,Freshwater,-6.6,,26.5,Unnamed stream in Turkey Lakes Watershed_Ontario_Canada_temperate forest_dissolved N2O_September and October 2005,yes
This study,Freshwater,-16.1,,20.8,Unnamed stream in Turkey Lakes Watershed_Ontario_Canada_temperate forest_dissolved N2O_September and October 2005,yes
This study,Freshwater,-4.6,,20.2,Unnamed stream in Turkey Lakes Watershed_Ontario_Canada_temperate forest_dissolved N2O_September and October 2005,yes
This study,Freshwater,-21.9,,25.2,Unnamed stream in Turkey Lakes Watershed_Ontario_Canada_temperate forest_dissolved N2O_September and October 2005,yes
This study,Groundwater,-17.4,,31.5,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-17.3,,33,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18.6,,31.4,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-16.2,,34.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-16,,35.1,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-19.3,,26.1,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-19.5,,26.5,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-19.3,,27,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-15.7,,29.1,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-15.2,,30.4,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-15.8,,30.5,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18,,33.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-15.4,,38.1,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-21.1,,27.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18.9,,24.5,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18.9,,25.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-8.2,,44.4,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-17.5,,35.8,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-15,,39.8,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-22.5,,23.8,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-5.9,,38,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-13.7,,31,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-13.6,,30.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-11.5,,44.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-15.8,,28.4,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-17.2,,37.3,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18,,43,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-13.5,,36.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18.7,,31,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-19.2,,30.5,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-17.4,,27.4,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-16,,32.6,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-17.7,,29.2,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-14,,32.3,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-13.6,,38.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-11.8,,23.9,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-12.6,,24.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-12.5,,24.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-16.9,,29.9,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-13.8,,31.9,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-12.9,,21.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-10.3,,33.6,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-16.8,,30.8,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-12.5,,28.5,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-20.2,,29.2,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18.1,,25.4,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-17.5,,27,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-12.6,,32.9,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-8.1,,45.5,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-16.3,,34.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-13.1,,27.3,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-16.5,,20.9,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-12.3,,35.3,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-14.2,,31.6,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-15.2,,31.1,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-14,,39.3,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18.5,,18.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-19,,18.6,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18.8,,19.3,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-15.1,,34.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-19.4,,27.6,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18.3,,30,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18.9,,27.8,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-25.1,,15.9,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-26.1,,14.1,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-27.2,,11.5,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-14.2,,22.1,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-14,,21.8,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-19.8,,27.9,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-13.3,,29.1,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-17.9,,35.5,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-16.2,,33.6,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-16.7,,33.2,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18.3,,25.2,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-15,,35.2,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-10.8,,34.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-15.6,,24.3,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-14.2,,30.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-13.8,,32.5,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-14.1,,28.1,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-6.7,,48.4,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-17,,28.8,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-17.3,,28.6,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-22.7,,22.1,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-16.3,,33.5,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-13.3,,30.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-20.7,,32.1,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-17.6,,25.9,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18.8,,21.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-19.1,,21.4,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-19.3,,22.3,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-19.7,,21.4,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-22.1,,18.3,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-21,,18.6,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-20.2,,19.8,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-16.4,,28.6,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-16.5,,27.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-19,,26.4,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18.4,,26.7,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-18,,27.5,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,-15.4,,39.9,Black Brook Watershed_New Brunswick_Canada_agricultural groundwater_6 to 154 m depth_October 2008 to August 2009,n/a
This study,Groundwater,2.5,,46.4,Delhi_Ontario_Canada_agricultural land-use_16 to 40 m depth_March 2009,n/a
This study,Groundwater,-19.7,,36.6,Delhi_Ontario_Canada_agricultural land-use_16 to 40 m depth_March 2009,n/a
This study,Groundwater,-24.8,,30.3,Elmira_Ontario_Canada_groundwater downgradient of fertilizer plant_April 2009,n/a
This study,Groundwater,-34.7,,27.6,Elmira_Ontario_Canada_groundwater downgradient of fertilizer plant_April 2009,n/a
This study,Groundwater,-31,,33.2,Elmira_Ontario_Canada_groundwater downgradient of fertilizer plant_April 2009,n/a
This study,Groundwater,-14,,30.6,Elmira_Ontario_Canada_groundwater downgradient of fertilizer plant_April 2009,n/a
This study,Groundwater,-21.7,,30.2,Elmira_Ontario_Canada_groundwater downgradient of fertilizer plant_April 2009,n/a
This study,Groundwater,-14.4,,43.1,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-18.4,,40,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-5.4,,38.2,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-12.9,,43.1,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-11.2,,42.2,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-11.9,,41.7,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-11.2,,34.1,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-20.8,,30.9,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-14.1,,40.8,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-26.9,,27.1,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-26,,25.1,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-27.3,,24.7,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-25.7,,25.7,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-43.2,,38.2,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-53.7,,32.6,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-34.9,,39.1,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-20.7,,40.2,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-12.8,,40,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-9.3,,43.7,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-11.9,,56.7,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-17.2,,51.5,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-19.2,,40.7,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-18.6,,40.9,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-20.7,,39.2,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-17,,41.6,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-15.5,,42.2,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-16.1,,45.7,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-16.6,,40.5,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-17.5,,40.1,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-19.3,,29.6,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-32.5,,29.4,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-16,,32.8,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-28.5,,32.5,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-31.3,,30.4,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-29.8,,32.4,Lake Joseph_Ontario_Canada_groundwater of septic system tile bed_3 to 6 m depth_June to September 2009,n/a
This study,Groundwater,-37.2,,40.7,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
This study,Groundwater,-36.8,,41.3,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
This study,Groundwater,-20.7,,46.8,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
This study,Groundwater,-20.5,,24.5,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
This study,Groundwater,-18.7,,27,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
This study,Groundwater,-10,,85.7,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
This study,Groundwater,-9.5,,41.5,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
This study,Groundwater,-5.2,,52.1,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
This study,Groundwater,0.6,,84.7,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
This study,Groundwater,2.6,,39.7,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
This study,Groundwater,11.3,,66.9,Long Point_Ontario_Canada_groundwater of septic system tile bed_0 to 6 m depth_June 2008 to October 2009,n/a
This study,Groundwater,-13.9,,39.3,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-14.1,,38.6,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-13.8,,38,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-13.2,,39.1,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-2,,39.2,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-1.5,,39,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-2.6,,38.9,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-16.1,,38.7,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-12,,38.5,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-8.1,,41.8,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-4.4,,38.5,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-7.8,,39.8,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-15.9,,36.4,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-2.8,,33.4,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-10,,37.9,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,4.8,,35.6,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-14.9,,46.8,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-19.1,,44.8,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-16.7,,44.6,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-11.8,,44.5,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,0.6,,49.3,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-7.1,,54,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-24.5,,34.1,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-16.7,,36.1,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-20,,30.2,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-23.6,,35.3,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-6.4,,48.4,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-4.2,,40.3,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-31,,45.4,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-2.1,,62.4,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-32.7,,46.6,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-13.4,,46.4,Maryhill_Ontario_Canada_agricultural groundwater_0 to 6 m depth_March 2007 to January 2008,n/a
This study,Groundwater,-25.6,,30.3,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-26.3,,36.5,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
This study,Groundwater,-18.4,,15.7,Nottawasaga River Watershed_Ontario_Canada_agricultural groundwater_3 to 35 m depth_August 2010 to July 2011,n/a
